timestamp, cpu_user, cpu_system, rss, heapTotal, heapUsed, external
1737464980954, 35412082, 6478501, 232206336, 157347840, 152035192, 3068530
1737464981455, 35412733, 6478620, 232206336, 157347840, 152037016, 3068530
1737464981956, 35413405, 6478743, 232206336, 157347840, 152038840, 3068530
1737464982457, 35414054, 6478862, 232206336, 157347840, 152040664, 3068530
1737464982958, 35414723, 6478984, 232206336, 157347840, 152042488, 3068530
1737464983458, 35415371, 6479103, 232206336, 157347840, 152044312, 3068530
1737464983959, 35416037, 6479225, 232206336, 157347840, 152046136, 3068530
1737464984461, 35416687, 6479344, 232206336, 157347840, 152047960, 3068530
1737464984961, 35417340, 6479463, 232206336, 157347840, 152049784, 3068530
1737464985462, 35418016, 6479587, 232206336, 157347840, 152051608, 3068530
1737464985963, 35418679, 6479708, 232206336, 157347840, 152053432, 3068530
1737464986464, 35418679, 6480521, 232206336, 157347840, 152055256, 3068530
1737464986966, 35418679, 6481290, 232206336, 157347840, 152057056, 3068530
1737464987466, 35418679, 6482081, 232206336, 157347840, 152058856, 3068530
1737464987967, 35418679, 6482843, 232206336, 157347840, 152060656, 3068530
1737464988468, 35418679, 6483634, 232206336, 157347840, 152062456, 3068530
1737464988974, 35424455, 6484029, 232206336, 157347840, 152064256, 3068530
1737464989476, 35432158, 6484055, 232476672, 157347840, 152127360, 3068530
1737464989977, 35432904, 6484055, 232476672, 157347840, 152129120, 3068530
1737464990478, 35433653, 6484055, 232476672, 157347840, 152130824, 3068530
1737464990980, 35434423, 6484055, 232476672, 157347840, 152132528, 3068530
1737464991480, 35435207, 6484055, 232476672, 157347840, 152134232, 3068530
1737464991980, 35435970, 6484055, 232476672, 157347840, 152135936, 3068530
1737464992481, 35436723, 6484055, 232476672, 157347840, 152137640, 3068530
1737464992982, 35437469, 6484055, 232476672, 157347840, 152139344, 3068530
1737464993483, 35438249, 6484055, 232476672, 157347840, 152141048, 3068530
1737464993985, 35438999, 6484055, 232476672, 157347840, 152142752, 3068530
1737464994485, 35439771, 6484055, 232476672, 157347840, 152144456, 3068530
1737464994986, 35440517, 6484055, 232476672, 157347840, 152146160, 3068530
1737464995486, 35441161, 6484162, 232476672, 157347840, 152147864, 3068530
1737464995987, 35441808, 6484280, 232476672, 157347840, 152149592, 3068530
1737464996488, 35442441, 6484396, 232476672, 157347840, 152151320, 3068530
1737464996989, 35443108, 6484518, 232476672, 157347840, 152153048, 3068530
1737464997490, 35443745, 6484635, 232476672, 157347840, 152154776, 3068530
1737464997990, 35444397, 6484754, 232476672, 157347840, 152156504, 3068530
1737464998491, 35445027, 6484869, 232476672, 157347840, 152158232, 3068530
1737464998992, 35445660, 6484985, 232476672, 157347840, 152159960, 3068530
1737464999493, 35446315, 6485105, 232476672, 157347840, 152161688, 3068530
1737464999995, 35446947, 6485221, 232476672, 157347840, 152163416, 3068530
1737465000495, 35447599, 6485340, 232476672, 157347840, 152165144, 3068530
1737465000996, 35448337, 6485401, 232476672, 157347840, 152166872, 3068530
1737465001497, 35449112, 6485401, 232476672, 157347840, 152168600, 3068530
1737465001998, 35449858, 6485401, 232476672, 157347840, 152170304, 3068530
1737465002500, 35450620, 6485401, 232476672, 157347840, 152172008, 3068530
1737465003000, 35451428, 6485401, 232476672, 157347840, 152173712, 3068530
1737465003501, 35452182, 6485401, 232476672, 157347840, 152175416, 3068530
1737465004002, 35452963, 6485401, 232476672, 157347840, 152177120, 3068530
1737465004503, 35453711, 6485401, 232476672, 157347840, 152178824, 3068530
1737465005004, 35454549, 6485401, 232476672, 157347840, 152180528, 3068530
1737465005505, 35455320, 6485401, 232476672, 157347840, 152182232, 3068530
1737465006006, 35456072, 6485401, 232476672, 157347840, 152183936, 3068530
1737465006507, 35456849, 6485401, 232476672, 157347840, 152185640, 3068530
1737465007008, 35457697, 6485401, 232476672, 157347840, 152187344, 3068530
1737465007509, 35458466, 6485401, 232476672, 157347840, 152189048, 3068530
1737465008010, 35459227, 6485401, 232476672, 157347840, 152190752, 3068530
1737465008511, 35459990, 6485401, 232476672, 157347840, 152192456, 3068530
1737465009012, 35460762, 6485401, 232476672, 157347840, 152194160, 3068530
1737465009513, 35461512, 6485401, 232476672, 157347840, 152195864, 3068530
1737465010014, 35462282, 6485401, 232476672, 157347840, 152197568, 3068530
1737465010514, 35463026, 6485401, 232476672, 157347840, 152199272, 3068530
1737465011015, 35463774, 6485401, 232476672, 157347840, 152200976, 3068530
1737465011516, 35464543, 6485401, 232476672, 157347840, 152202680, 3068530
1737465012017, 35465286, 6485401, 232476672, 157347840, 152204384, 3068530
1737465012519, 35466058, 6485401, 232476672, 157347840, 152206088, 3068530
1737465013019, 35466805, 6485401, 232476672, 157347840, 152207792, 3068530
1737465013520, 35467624, 6485401, 232476672, 157347840, 152209496, 3068530
1737465014020, 35467624, 6486183, 232476672, 157347840, 152211200, 3068530
1737465014521, 35467624, 6486932, 232476672, 157347840, 152212904, 3068530
1737465015022, 35467624, 6487705, 232476672, 157347840, 152214608, 3068530
1737465015523, 35467624, 6488450, 232476672, 157347840, 152216312, 3068530
1737465016025, 35467818, 6489113, 232476672, 157347840, 152218232, 3076722
1737465016525, 35467818, 6489863, 232476672, 157347840, 152219984, 3076722
1737465017026, 35467818, 6490612, 232476672, 157347840, 152221696, 3076722
1737465017526, 35467818, 6491370, 232476672, 157347840, 152223400, 3076722
1737465018027, 35467818, 6492114, 232476672, 157347840, 152225104, 3076722
1737465018527, 35468033, 6492683, 232476672, 157347840, 152226808, 3076722
1737465019028, 35468762, 6492743, 232476672, 157347840, 152228536, 3076722
1737465019529, 35469547, 6492743, 232476672, 157347840, 152230264, 3076722
1737465020030, 35470291, 6492743, 232476672, 157347840, 152231968, 3076722
1737465020532, 35471043, 6492743, 232476672, 157347840, 152233672, 3076722
1737465021032, 35471836, 6492743, 232476672, 157347840, 152235376, 3076722
1737465021534, 35472582, 6492743, 232476672, 157347840, 152237080, 3076722
1737465022034, 35473354, 6492743, 232476672, 157347840, 152238784, 3076722
1737465022535, 35474104, 6492743, 232476672, 157347840, 152240488, 3076722
1737465023036, 35474873, 6492743, 232476672, 157347840, 152242192, 3076722
1737465023537, 35475623, 6492743, 232476672, 157347840, 152243896, 3076722
1737465024039, 35476376, 6492748, 232476672, 157347840, 152245600, 3076722
1737465024539, 35477029, 6492867, 232476672, 157347840, 152247328, 3076722
1737465025040, 35477357, 6493370, 232476672, 157347840, 152249056, 3076722
1737465025541, 35477357, 6494136, 232476672, 157347840, 152250784, 3076722
1737465026042, 35477357, 6494880, 232476672, 157347840, 152252488, 3076722
1737465026544, 35477357, 6495658, 232476672, 157347840, 152254192, 3076722
1737465027044, 35478149, 6495658, 232476672, 157347840, 152255896, 3076722
1737465027545, 35478826, 6495729, 232476672, 157347840, 152257600, 3076722
1737465028046, 35479474, 6495848, 232476672, 157347840, 152259328, 3076722
